id,province_name,city_name,dealer,customer_code,ERP_connection,sell in sales name,2TL Bosch sales name,sell out sales name,warehouse_type,warehouse_name,warehouse_code,warehouse_address,KZ_coverage_tag,GBB_category_tag
,河北省,承德市,江苏康众汽配有限公司,KZ,是,,,,康众门店,承德丰宁仓库（合作）,,河北省承德市丰宁满族自治县丰宁县南大桥康众汽配,,
,河北省,保定市,江苏康众汽配有限公司,KZ,是,,,,康众门店,保定白沟仓库,,河北省保定市高碑店市白沟镇兴胜大街东侧秀水路金孔雀底商32号商铺,,
,山西省,晋中市,江苏康众汽配有限公司,KZ,是,,,,康众门店,晋中榆次仓库,,山西省晋中市榆次区使赵便民市场北门正对面巷子直行第三排西面第二家康众汽配,,
,山西省,太原市,江苏康众汽配有限公司,KZ,是,,,,康众门店,太原万柏林仓库,,山西省太原市万柏林区滨西工业园充电站休息室旁康众汽配,,
,内蒙古自治区,包头市,江苏康众汽配有限公司,KZ,是,,,,康众门店,包头万郡仓库,,内蒙古自治区包头市青山区文化路佳福小区41-102,,
,内蒙古自治区,鄂尔多斯市,江苏康众汽配有限公司,KZ,是,,,,康众门店,鄂尔多斯薛家湾仓库（合作）,,内蒙古自治区鄂尔多斯市准格尔旗薛家湾153鑫圣名车二楼,,
,天津市,天津市,江苏康众汽配有限公司,KZ,是,,,,康众门店,天津静海仓库,,天津市天津城区静海区东安道长春保温防水批发旁康众汽配,,
,山西省,大同市,江苏康众汽配有限公司,KZ,是,,,,康众门店,大同北辰仓库,,山西省大同市平城区御河西路宜景园大都府北侧336号商铺,,
,山西省,大同市,江苏康众汽配有限公司,KZ,是,,,,康众门店,大同通用汽配城仓库,,山西省大同市平城区庆新路十里店农贸市场南侧4-5号库房,,
,山西省,大同市,江苏康众汽配有限公司,KZ,是,,,,康众门店,大同阳光车城仓库,,山西省大同市平城区山西省大同市平城区馨泰花园22号楼5号商铺,,
,天津市,天津市,江苏康众汽配有限公司,KZ,是,,,,康众门店,天津新港仓库,,天津市天津城区滨海新区塘沽区幸福家园4栋101,,
,浙江省,绍兴市,江苏康众汽配有限公司,KZ,是,,,,康众门店,新康众华东（诸暨）物流中心,,浙江省绍兴市,,
,浙江省,宁波市,江苏康众汽配有限公司,KZ,是,,,,康众门店,慈溪观城仓库,,浙江省宁波市慈溪市观海卫镇金慈塑料城第4街60号,,
,浙江省,温州市,江苏康众汽配有限公司,KZ,是,,,,康众门店,乐清长乐路仓库,,浙江省温州市乐清市宋湖村富强路108弄6号,,
,浙江省,杭州市,江苏康众汽配有限公司,KZ,是,,,,康众门店,新康众杭州车型件物流中心,,浙江省杭州市拱墅区莫干山路1418-21号2号楼西门401,,
,安徽省,马鞍山市,江苏康众汽配有限公司,KZ,是,,,,康众门店,马鞍山和县仓库（合作）,,安徽省马鞍山市和县共义路康众汽车配件,,
,浙江省,金华市,江苏康众汽配有限公司,KZ,是,,,,康众门店,金华永康仓库（合作）,,浙江省金华市永康市松石西路875号,,
,浙江省,金华市,江苏康众汽配有限公司,KZ,是,,,,康众门店,东阳仓库,,浙江省金华市东阳市白云街道浣纱一路18号康众,,
,浙江省,金华市,江苏康众汽配有限公司,KZ,是,,,,康众门店,义乌经发仓库,,浙江省金华市义乌市青口高昂国际货运三楼,,
,浙江省,湖州市,江苏康众汽配有限公司,KZ,是,,,,康众门店,长兴仓库,,浙江省湖州市长兴县太平洋商贸城12幢30号,,
,安徽省,滁州市,江苏康众汽配有限公司,KZ,是,,,,康众门店,滁州琅琊仓库,,安徽省滁州市,,
,浙江省,温州市,江苏康众汽配有限公司,KZ,是,,,,康众门店,瑞安瑞祥大道仓库（合作）,,浙江省温州市瑞安市瑞祥大道669-671号,,
,浙江省,宁波市,江苏康众汽配有限公司,KZ,是,,,,康众门店,宁波象山仓库（合作）,,浙江省宁波市象山县丹阳路288号往东50米,,
,安徽省,宿州市,江苏康众汽配有限公司,KZ,是,,,,康众门店,宿州泗县仓库（合作）,,安徽省宿州市泗县南二环路 国际装饰城二期东门,,
,浙江省,温州市,江苏康众汽配有限公司,KZ,是,,,,康众门店,温州汽配城仓库（合作）,,浙江省温州市鹿城区方工路27号,,
,安徽省,亳州市,江苏康众汽配有限公司,KZ,是,,,,康众门店,亳州利辛仓库（合作）,,安徽省亳州市利辛县工业园区创业路10号永利塑料厂内,,
,安徽省,合肥市,江苏康众汽配有限公司,KZ,是,,,,康众门店,巢湖健康东路仓库（合作）,,安徽省合肥市巢湖市健康东路8-22号（东方景苑北区）,,
,安徽省,滁州市,江苏康众汽配有限公司,KZ,是,,,,康众门店,滁州定远仓库（合作）,,安徽省滁州市定远县北极星商业广场2-b106，107,,
,浙江省,金华市,江苏康众汽配有限公司,KZ,是,,,,康众门店,新康众金华大件物流中心,,浙江省金华市婺城区十里铺村军民路3号车胎宝轮胎仓库,,
,浙江省,金华市,江苏康众汽配有限公司,KZ,是,,,,康众门店,金华江北仓库,,浙江省金华市婺城区道院街359号顺翔汽车用品后边康众汽配,,
,浙江省,杭州市,江苏康众汽配有限公司,KZ,是,,,,康众门店,新康众杭州大件第二物流中心,,浙江省杭州市萧山区河庄街道建设村十七组鲸花电泵有限公司,,
,安徽省,淮南市,江苏康众汽配有限公司,KZ,是,,,,康众门店,淮南大通仓库,,安徽省淮南市大通区建设南路22号,,
,安徽省,亳州市,江苏康众汽配有限公司,KZ,是,,,,康众门店,亳州芍花路仓库,,安徽省亳州市谯城区薛阁街道西马园中心路141号,,
,安徽省,阜阳市,江苏康众汽配有限公司,KZ,是,,,,康众门店,阜阳阜南仓库（合作）,,安徽省阜阳市阜南县阜南国际汽车城11幢113-114,,
,浙江省,湖州市,江苏康众汽配有限公司,KZ,是,,,,康众门店,湖州德清仓库,,浙江省湖州市德清县武康镇志远南路425号佳得利商贸城27幢4号,,
,安徽省,六安市,江苏康众汽配有限公司,KZ,是,,,,康众门店,六安裕安区仓库（合作）,,安徽省六安市裕安区南洋现代城A区2栋110铺,,
,江苏省,苏州市,江苏康众汽配有限公司,KZ,是,,,,康众门店,温州平阳仓库（合作）,,浙江省温州市平阳县鳌江镇鳌江大道465号隔壁,,
,安徽省,宿州市,江苏康众汽配有限公司,KZ,是,,,,康众门店,宿州砀山仓库（合作）,,安徽省宿州市砀山县梁王路950号,,
,安徽省,安庆市,江苏康众汽配有限公司,KZ,是,,,,康众门店,安庆太湖仓库（合作）,,安徽省安庆市太湖县安徽省安庆市太湖县太湖县外环南路与富强路交叉口农产品物流园二期E2-106,,
,安徽省,宿州市,江苏康众汽配有限公司,KZ,是,,,,康众门店,宿州萧县仓库（合作）,,安徽省宿州市萧县龙城镇教育路807号,,
,浙江省,金华市,江苏康众汽配有限公司,KZ,是,,,,康众门店,义乌稠江仓库,,浙江省金华市义乌市童店二区52幢1单元卷帘门,,
